nombre_libro,genero,editorial,año,isbn,idioma,numero_paginas,average_rating
,,,,,,,
FICCIONES,Ficción literaria,ALIANZA,2006,9788420633121,Español,218,3
,,,,,,,
PEDRO PÁRAMO,Literatura contemporánea,CÁTEDRA,2004,9788437604183,Español,198,NULL
,,,,,,,
MEMORIAS DE IDHÚN,Infantil y juvenil,SM,2004,9788467502695,Español,424,NULL
,,,,,,,
LA SOMBRA DEL VIENTO,Narrativa,PLANETA,2006,9788408057932,Español,255,NULL
,,,,,,,
LA CIUDAD Y LOS PERROS,Narrativa,ALFAGUARA,2012,9788420412337,Español,288,NULL
,,,,,,,
EL TÚNEL,Narrativa,SEIX BARRAL,2007,9788432217531,Español,144,NULL
,,,,,,,
LA REGENTA,Literatura contemporánea,CRÍTICA,2005,9788484326977,Español,1038,NULL
,,,,,,,
LA VIDA ES SUEÑO,"Poesía, teatro",ESPASA,2006,9788467021745,Español,NULL,NULL
,,,,,,,
VEINTE POEMAS DE AMOR Y UNA CANCIÓN DESESPERADA,"Poesía, teatro",ESPASA,2007,9788467021837,Español,NULL,4.5
,,,,,,,
LOS RENGLONES TORCIDOS DE DIOS,Narrativa,PLANETA (2004 y 2009),2009,9788408088363,Español,343,5
,,,,,,,
EL CORAZÓN HELADO,Ficción literaria,TUSQUETS,2007,9788483103739,Español,NULL,NULL
,,,,,,,
LA FIESTA DEL CHIVO,Histórica y aventuras,ALFAGUARA,2018,9788420434643,Español,316,3
,,,,,,,
LOS SANTOS INOCENTES,Literatura contemporánea,CRÍTICA,2005,9788484325659,Español,96,NULL
,,,,,,,
RAYUELA,Narrativa,ALFAGUARA,2010,9788420405940,Español,652,3.5
,,,,,,,
EL MAESTRO DE ESGRIMA,Histórica y aventuras,ALFAGUARA,2007,9788420472485,Español,397,NULL
,,,,,,,
LOS DETECTIVES SALVAJES,"Novela negra, intriga, terror",ANAGRAMA,2002,9788433966636,Español,756,3.5
,,,,,,,
ZALACAIN EL AVENTURERO,Clásicos de la literatura,ESPASA,2007,9788467021608,Español,NULL,NULL
,,,,,,,
EL CLUB DUMAS (La novena puerta),Ficción literaria,ALFAGUARA,2007,9788420471990,Español,584,4
,,,,,,,
LA TABLA DE FLANDES,"Novela negra, intriga, terror",ALFAGUARA,2007,9788420472690,Español,416,NULL
,,,,,,,
NO DIGAS QUE FUE UN SUEÑO,Ficción literaria,PLANETA,2006,9788408065081,Español,NULL,NULL
,,,,,,,
LA AVENTURA DEL TOCADOR DE SEÑORAS,Ficción literaria,SEIX BARRAL,2002,9788432210907,Español,NULL,NULL
,,,,,,,
EVA LUNA,Ficción literaria,DEBOLSILLO,2009,9788497592512,Español,NULL,NULL
,,,,,,,
MANOLITO GAFOTAS,Infantil y juvenil,ALFAGUARA,2002,9788420464534,Español,188,5
,,,,,,,
EL ORO DEL REY (Alatriste IV),Histórica y aventuras,PUNTO DE LECTURA,2006,9788466312042,Español,NULL,NULL
,,,,,,,
CORSARIOS DE LEVANTE (Alatriste VI),Histórica y aventuras,ALFAGUARA,2006,9788420471013,Español,400,4.5
,,,,,,,
LIMPIEZA DE SANGRE (Alatriste II),Histórica y aventuras,PUNTO DE LECTURA,2006,9788466312066,Español,548,NULL
,,,,,,,
OLVIDADO REY GUDÚ,"Fantástica, ciencia ficción",DESTINO,2018,9788423354054,Español,865,3.5
,,,,,,,
EL SOL DE BREDA (Alatriste III),Histórica y aventuras,PUNTO DE LECTURA,2006,9788466309929,Español,NULL,NULL
,,,,,,,
LA REINA DEL SUR,Ficción literaria,ALFAGUARA,2011,9788420407081,Español,522,NULL
,,,,,,,
MALENA ES UN NOMBRE DE TANGO,Ficción literaria,TUSQUETS,2008,9788495971814 / 9788483835135,Español,NULL,NULL
,,,,,,,
PLATERO Y YO,Clásicos de la literatura,ESPASA,2011,9788467019766,Español,128,3
,,,,,,,
EL CORONEL NO TIENE QUIEN LE ESCRIBA,Narrativa,DEBOLSILLO,2003,9788497592352,Español,86,NULL
,,,,,,,
SIN NOTICIAS DE GURB,Humor,SEIX BARRAL,2002,9788432221255,Español,188,3
,,,,,,,
EL ALQUIMISTA IMPACIENTE,"Novela negra, intriga, terror",DESTINO,2011,9788423344741,Español,281,NULL
,,,,,,,
LA TÍA TULA,Clásicos de la literatura,ESPASA,2001,9788423919444,Español,300,NULL
,,,,,,,
MARIANELA,Literatura contemporánea,CÁTEDRA,2009,9788437625430,Español,127,NULL
,,,,,,,
EL ÁRBOL DE LA CIENCIA,Literatura contemporánea,ALIANZA,2011,9788420658803,Español,250,NULL
,,,,,,,
EL CABALLERO DEL JUBÓN AMARILLO (Alatriste V),Histórica y aventuras,PUNTO DE LECTURA,2006,9788466308441,Español,NULL,NULL
,,,,,,,
LA VERDAD SOBRE EL CASO SAVOLTA,Narrativa,BOOKET,2016,9788432225918,Español,447,NULL
,,,,,,,
LA COLMENA,Literatura contemporánea,ESPASA,2007,9788467023213,Español,368,NULL
,,,,,,,
EL MISTERIO DE LA CRIPTA EMBRUJADA,"Novela negra, intriga, terror",SEIX BARRAL,2005,9788432217012,Español,480,NULL
,,,,,,,
FUENTE OVEJUNA,Clásicos de la literatura,AUSTRAL,2010,9788467034127,Español,NULL,5
,,,,,,,
